ID_Entrega,Destino,Peso_kg,Volumen_m3,Costo_Envio,Cliente,Medio_Entrega,Estado,Fecha_Entrada,Fecha_Entrega,Tiempo_Entrega_Dias
ENT0001,Madrid,12.24,0.424,337.48,Talleres SL S.L.N.E,Motocicleta,Entregado,2025-04-05,2025-04-13,8.0
ENT0002,Madrid,25.05,0.329,17.99,Erasmo Mir Badía S.C,Furgoneta Grande,Tránsito,2025-03-24,,
ENT0003,Bilbao,35.43,1.927,449.21,Campo y Mate S.L.,Camión,Entregado,2025-04-03,2025-04-10,7.0
ENT0004,Valencia,14.92,1.407,192.29,Supermercados Larrañ,Furgoneta Pequeña,Retrasado,2025-04-08,,
ENT0005,Sevilla,38.98,1.311,226.63,Desarrollo Ibéricos ,Furgoneta Grande,Tránsito,2025-03-31,,
ENT0006,Sevilla,21.7,1.299,156.11,Águila y asociados S,Motocicleta,Tránsito,2025-04-05,,
ENT0007,Zaragoza,1.78,1.095,472.8,Jennifer Casas Lasa ,Furgoneta Grande,Entregado,2025-03-28,2025-04-03,6.0
ENT0008,Madrid,15.83,1.456,180.42,Simó y Gutierrez S.L,Motocicleta,Tránsito,2025-03-31,,
ENT0009,Málaga,13.26,0.355,177.68,Industrias Inteligen,Camión,Entregado,2025-03-28,2025-04-05,8.0
ENT0010,Barcelona,40.98,0.485,143.17,Industrias Internaci,Motocicleta,Entregado,2025-04-01,2025-04-08,7.0
ENT0011,Coruña,13.08,1.695,114.16,Losada y asociados S,Camión,Tránsito,2025-04-02,,
ENT0012,Málaga,31.47,0.296,387.04,Ruth Pareja Dávila S,Motocicleta,Entregado,2025-04-11,2025-04-12,1.0
ENT0013,Madrid,5.36,1.301,33.39,Minería Alvarado y a,Motocicleta,Entregado,2025-04-01,2025-04-03,2.0
ENT0014,Madrid,11.08,0.771,312.21,Despacho Avilés & As,Motocicleta,Entregado,2025-04-07,2025-04-09,2.0
ENT0015,Bilbao,3.66,1.618,305.24,Federico Mata Martin,Motocicleta,Entregado,2025-03-29,2025-03-30,1.0
ENT0016,Coruña,19.17,0.904,490.14,Restauración del Lev,Camión,Entregado,2025-04-03,2025-04-04,1.0
